query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
apakah bahan pencerah baru lebih efektif dari hydroquinone?,0,0,0,,86,0,86,0.0,0.0,,10.1,,,0,0,0,86,stable,informational,False
apakah bmg hb dosting,0,0,0,,0,1,-1,0.0,0.0,,,1.0,,0,0,0,1,stable,informational,False
apakah boleh pakai panthenol setelah eksfoliasi,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,5,stable,informational,False
apakah boleh setelah eksfoliasi memakai moisturizer panthenol,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,7,stable,informational,False
apakah cream dan moisturizer sama,0,0,0,,10,1,9,0.0,0.0,,9.8,9.0,0.8,0,0,0,11,stable,informational,False
apakah cream sama dengan moisturizer,0,0,0,,7,1,6,0.0,0.0,,11.0,13.0,-2.0,0,0,0,8,stable,informational,False
apakah di ig ada keranjang kuning,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apakah dosting aman,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,informational,False
apakah eau de parfum mengandung alkohol,0,0,0,,0,3,-3,0.0,0.0,,,1.0,,0,0,0,3,stable,informational,False
apakah face cream sama dengan moisturizer,0,0,0,,8,0,8,0.0,0.0,,10.6,,,0,0,0,8,stable,informational,False
apakah face tonic sama dengan micellar water,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,informational,False
apakah facerinna produk lokal,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,informational,False
apakah fixative mengandung alkohol,0,0,0,,1,2,-1,0.0,0.0,,8.0,8.5,-0.5,0,0,0,9,stable,informational,False
apakah ginseng bagus untuk rambut,0,0,0,,1,0,1,0.0,0.0,,52.0,,,0,0,0,1,stable,informational,False
apakah ginseng bisa menumbuhkan rambut,0,0,0,,4,1,3,0.0,0.0,,25.8,54.0,-28.2,0,0,0,5,stable,informational,False
apakah hair tonic ginseng bisa meluruskan rambut,0,0,0,,0,1,-1,0.0,0.0,,,11.0,,0,0,0,1,stable,informational,False
apakah hair tonic ginseng bisa menumbuhkan rambut,0,0,0,,2,6,-4,0.0,0.0,,11.0,12.0,-1.0,0,0,0,8,stable,informational,False
apakah harus pakai npwp,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,informational,False
