url,page_path,current_clicks,previous_clicks,clicks_delta,clicks_pct_change,current_ctr_pct,previous_ctr_pct,ctr_delta_pp,current_position,previous_position,position_delta,c30_clicks,p30_clicks,c30_impressions,c90_impressions,p90_impressions,clicks_16m,impressions_16m,traffic_delta,potential_opportunity,priority_score,business_intent,page_type,money_page,blog,category_page,landing_page,knowledge_page
https://dreamlab.id/strategi-tiktok-shop-campaign-gratis/,/strategi-tiktok-shop-campaign-gratis/,1,2,-1,-50.0,0.29,0.56,-0.27,9.0,7.2,1.8,0,1,40,342,354,10,1433,-1,16.1,53.2,commercial,article,True,True,False,False,True
https://dreamlab.id/category/maklon-bodycare/,/category/maklon-bodycare/,6,3,3,100.0,5.36,0.87,4.49,10.4,15.3,-4.9,3,2,46,355,343,9,842,3,0.0,53.1,commercial,category,True,False,True,False,False
https://dreamlab.id/jasa-maklon-sunscreen-terbaik/,/jasa-maklon-sunscreen-terbaik/,4,0,4,100,0.62,0.0,0.62,9.4,,,2,0,127,330,0,4,330,4,14.5,53.0,commercial,service_landing,True,False,False,True,False
https://dreamlab.id/maklon-bodycare-dreamlab-moq-fleksibel/,/maklon-bodycare-dreamlab-moq-fleksibel/,6,3,3,100.0,1.78,0.68,1.1,10.7,13.6,-2.9,0,3,72,338,443,15,1631,3,2.5,52.9,brand,service,True,False,False,False,False
https://dreamlab.id/maklon-skincare-jawa-timur-dreamlab/,/maklon-skincare-jawa-timur-dreamlab/,6,4,2,50.0,1.75,1.29,0.46,19.3,22.9,-3.6,4,0,135,343,310,22,2106,2,2.6,52.9,brand,service,True,False,False,False,False
https://dreamlab.id/category/maklon-parfum/,/category/maklon-parfum/,10,2,8,400.0,1.56,1.26,0.3,15.6,15.6,0.0,1,8,34,329,159,12,587,8,3.1,52.8,commercial,category,True,False,True,False,False
https://dreamlab.id/maklon-kosmetik-skincare-medan-dreamlab/,/maklon-kosmetik-skincare-medan-dreamlab/,10,0,10,100,1.71,0.0,1.71,12.7,,,2,4,101,324,0,10,324,10,2.6,52.7,brand,service,True,False,False,False,False
https://dreamlab.id/maklon-jakarta-terbaik/,/maklon-jakarta-terbaik/,4,11,-7,-63.6,5.03,1.72,3.31,12.8,17.2,-4.4,2,2,56,322,640,23,2031,-7,0.0,52.6,commercial,service,True,False,False,False,False
https://dreamlab.id/ide-bisnis-kosmetik/,/ide-bisnis-kosmetik/,0,0,0,,0.66,0.0,0.66,7.2,,,0,0,0,0,0,2,305,0,13.3,52.6,commercial,article,True,True,False,False,True
https://dreamlab.id/lisensi-dan-peraturan-yang-perlu-dipahami-dalam-memulai-bisnis-maklon-kosmetik/,/lisensi-dan-peraturan-yang-perlu-dipahami-dalam-memulai-bisnis-maklon-kosmetik/,0,0,0,,0.32,0.0,0.32,52.9,,,0,0,0,0,0,1,315,0,2.8,52.5,commercial,article,True,True,False,False,True
