query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
kecantikan dan periklanan,0,0,0,,1,1,0,0.0,0.0,,16.0,26.0,-10.0,0,0,0,2,stable,other,False
kegunaan cysteamine,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,other,False
kesalahan maklon produk,0,0,0,,2,1,1,0.0,0.0,,15.0,16.0,-1.0,0,0,0,6,stable,commercial,False
kids labs,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,other,False
kol skincare,1,0,1,100,5,10,-5,20.0,0.0,,19.8,7.2,12.6,0,1,2,40,declining,other,False
komposisi hb dosting,0,0,0,,2,4,-2,0.0,0.0,,11.0,1.0,10.0,0,0,0,6,stable,other,False
kosmetik terbaik di indonesia,0,0,0,,2,0,2,0.0,0.0,,17.5,,,0,0,0,2,stable,local,False
kosmetik terdekat,0,0,0,,1,1,0,0.0,0.0,,16.0,13.0,3.0,0,0,0,2,stable,other,False
kosmetik white label,0,0,0,,1,0,1,0.0,0.0,,19.0,,,0,0,0,1,stable,other,False
kride lab,0,0,0,,1,0,1,0.0,0.0,,11.0,,,0,0,0,1,stable,other,False
krim styling terbaik untuk rambut keriting kering hidrasi,0,0,0,,1,0,1,0.0,0.0,,14.0,,,0,0,0,1,stable,other,False
kursus peracik dari nol membuat sincare dari nol dibimbing sampai bisa daftar sekarang!,0,0,0,,2,0,2,0.0,0.0,,17.0,,,0,0,0,2,stable,other,False
laa vitamin c,0,0,0,,1,0,1,0.0,0.0,,12.0,,,0,0,0,1,stable,other,False
lebih tahan lama edp atau edt,0,0,0,,2,0,2,0.0,0.0,,17.0,,,0,0,0,4,stable,comparison,False
maklon bandung,0,0,0,,4,7,-3,0.0,0.0,,12.2,12.9,-0.6,0,0,0,11,stable,commercial,False
maklon bb cream,0,0,0,,10,0,10,0.0,0.0,,15.3,,,0,0,0,10,stable,commercial,False
