query,clicks_c90,clicks_p90,clicks_delta,clicks_pct_change,impressions_c90,impressions_p90,impressions_delta,ctr_c90_pct,ctr_p90_pct,ctr_delta_pp,position_c90,position_p90,position_delta,c30_clicks,p30_clicks,clicks_16m,impressions_16m,trend,business_intent,brand
perusahaan kosmetik di indonesia,0,0,0,,18,16,2,0.0,0.0,,27.1,3.5,23.6,0,0,0,34,stable,local,False
perusahaan kosmetik di jakarta,0,0,0,,2,3,-1,0.0,0.0,,21.5,56.0,-34.5,0,0,0,5,stable,local,False
perusahaan kosmetik di surabaya,2,0,2,100,110,91,19,1.82,0.0,,16.7,11.3,5.4,0,0,4,278,stable,local,False
perusahaan kosmetik di tangerang,0,0,0,,9,2,7,0.0,0.0,,23.8,26.5,-2.7,0,0,0,11,stable,local,False
perusahaan kosmetik indonesia,0,0,0,,0,4,-4,0.0,0.0,,,4.5,,0,0,0,4,stable,local,False
perusahaan kosmetik surabaya,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
perusahaan kosmetik terbesar di indonesia,0,1,-1,-100.0,72,80,-8,0.65,1.25,-0.6,13.4,10.8,2.6,0,0,1,153,stable,local,False
perusahaan manufaktur di jawa timur,0,0,0,,0,1,-1,0.0,0.0,,,121.0,,0,0,0,2,stable,local,False
perusahaan manufaktur di surabaya,0,0,0,,0,1,-1,0.0,0.0,,,41.0,,0,0,0,5,stable,local,False
perusahaan parfum di indonesia,0,0,0,,2,0,2,0.0,0.0,,1.0,,,0,0,0,2,stable,local,False
perusahaan parfum terbesar di indonesia,0,0,0,,2,0,2,0.0,0.0,,46.5,,,0,0,0,3,stable,local,False
perusahaan skincare di indonesia,0,0,0,,58,129,-71,0.5,0.0,,12.2,11.7,0.5,0,0,1,200,stable,local,False
perusahaan skincare terbesar di indonesia,1,2,-1,-50.0,81,191,-110,1.23,1.05,0.19,7.8,7.8,0.0,0,0,3,288,stable,local,False
pillars cosmetiklon indonesia,0,0,0,,1,0,1,0.0,0.0,,52.0,,,0,0,0,1,stable,local,False
prioritas jaya indonesia,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,local,False
produk best seller indonesia 2026,0,0,0,,0,4,-4,0.0,0.0,,,16.8,,0,0,0,4,stable,local,False
produk skin care terbaik di indonesia,0,0,0,,0,1,-1,0.0,0.0,,,61.0,,0,0,0,1,stable,local,False
produk skincare ramai dibicarakan indonesia 2026,0,0,0,,14,0,14,0.0,0.0,,4.9,,,0,0,0,14,stable,local,False
produk skincare ramai dibicarakan indonesia 2026 komala,0,0,0,,4,0,4,0.0,0.0,,8.2,,,0,0,0,4,stable,local,False
produk skincare terjangkau efektif indonesia 2025 or 2026,0,0,0,,0,2,-2,0.0,0.0,,,15.0,,0,0,0,2,stable,local,False
produk skincare trending indonesia 2026,0,0,0,,9,0,9,0.0,0.0,,6.9,,,0,0,0,9,stable,local,False
produk skincare viral indonesia 2026,0,0,0,,2,0,2,0.0,0.0,,8.0,,,0,0,0,2,stable,local,False
produk terlaris di tiktok shop indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
produk terlaris tiktok shop indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
produk trend di indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
produk trend indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,1,stable,local,False
produk trending tiktok indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,9,stable,local,False
produk trending tiktok shop indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
produk viral 2025 indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,8,stable,local,False
produk viral di indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,3,stable,local,False
produk viral di tiktok indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,4,stable,local,False
produk viral indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,64,stable,local,False
produk viral shopee indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,12,stable,local,False
produk viral tiktok 2025 indonesia,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,2,stable,local,False
produk viral tiktok indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,69,stable,local,False
produk viral tiktok shop indonesia 2025,0,0,0,,0,0,0,0.0,0.0,,,,,0,0,0,21,stable,local,False
produsen kosmetik di indonesia,0,0,0,,1,0,1,0.0,0.0,,28.0,,,0,0,0,1,stable,local,False
pt anjalis group indonesia,0,0,0,,1,0,1,0.0,0.0,,4.0,,,0,0,0,1,stable,local,False
pt aplus pacific jakarta,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt arina multikarya jakarta,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt arina multikarya malang,0,0,0,,1,0,1,0.0,0.0,,3.0,,,0,0,0,1,stable,local,False
pt arina multikarya semarang,0,0,0,,0,1,-1,0.0,0.0,,,4.0,,0,0,0,1,stable,local,False
pt arina multikarya surabaya,0,0,0,,0,2,-2,0.0,0.0,,,4.5,,0,0,0,2,stable,local,False
pt beautymax essential indonesia,0,0,0,,0,1,-1,0.0,0.0,,,10.0,,0,0,0,1,stable,local,False
pt benberg arome indonesia,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt blackpool kosmetik indonesia,0,0,0,,0,1,-1,0.0,0.0,,,7.0,,0,0,0,1,stable,local,False
pt cikos indonesia,0,0,0,,2,0,2,0.0,0.0,,5.0,,,0,0,0,2,stable,local,False
pt cipta laba surabaya,0,0,0,,0,1,-1,0.0,0.0,,,8.0,,0,0,0,1,stable,local,False
pt cool betty indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt cosmax indonesia,0,0,0,,0,2,-2,0.0,0.0,,,4.5,,0,0,0,2,stable,local,False
pt cosmetic mirror indonesia,0,0,0,,0,2,-2,0.0,0.0,,,4.5,,0,0,0,2,stable,local,False
pt credo indonesia,0,0,0,,1,0,1,0.0,0.0,,56.0,,,0,0,0,1,stable,local,False
pt cs2 pola sehat tangerang,0,0,0,,1,0,1,0.0,0.0,,2.0,,,0,0,0,1,stable,local,False
pt dream plastic indonesia,0,0,0,,1,0,1,0.0,0.0,,59.0,,,0,0,0,2,stable,local,False
pt essence cantika indonesia foto,0,0,0,,0,1,-1,0.0,0.0,,,4.0,,0,0,0,1,stable,local,False
pt eyecos kosmetik indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,1,stable,local,False
pt garland cantik indonesia,0,0,0,,1,0,1,0.0,0.0,,53.0,,,0,0,0,1,stable,local,False
pt gizi indonesia,0,0,0,,0,1,-1,0.0,0.0,,,4.0,,0,0,0,1,stable,local,False
pt hebe beauty indonesia,0,0,0,,0,1,-1,0.0,0.0,,,3.0,,0,0,0,1,stable,local,False
pt kecantikan di indonesia,0,0,0,,4,10,-6,0.0,0.0,,11.2,9.6,1.7,0,0,0,14,stable,local,False
pt kinglab indonesia,0,0,0,,2,0,2,0.0,0.0,,49.0,,,0,0,0,2,stable,local,False
pt kosmetik di indonesia,0,0,0,,1,7,-6,0.0,0.0,,4.0,56.3,-52.3,0,0,0,8,stable,local,False
pt kosmetik di tangerang,0,0,0,,0,4,-4,0.0,0.0,,,13.8,,0,0,0,5,stable,local,False
pt kosmetik indonesia,0,0,0,,2,3,-1,0.0,0.0,,33.5,96.0,-62.5,0,0,0,5,stable,local,False
pt kosmetik tangerang,0,0,0,,0,1,-1,0.0,0.0,,,12.0,,0,0,0,1,stable,local,False
pt kosmetik terbesar di indonesia,0,0,0,,15,20,-5,0.0,0.0,,12.5,12.0,0.5,0,0,0,35,stable,local,False
pt kosmetika global indonesia,0,0,0,,0,1,-1,0.0,0.0,,,2.0,,0,0,0,2,stable,local,False
